course_id,course,wbl,level,department,field,semesters,description,career
POLY-DIP-001,Diploma Agroteknologi,0,Diploma,Agroteknologi Dan Bio-Industri,Agroteknologi,6,"Diploma Agroteknologi dapat melahirkan sumber manusia terlatih dalam bidang teknologi pertanian untuk memenuhi permintaan dasar-dasar negara. Program ini akan memberi pendedahan kepada pelajar untuk menimba ilmu pengetahuan dan menjalankan latihan amali seperti pengeluaran makanan, ICT, automasi dan mekanisasi, agro-bioteknologi, teknologi pengeluaran, tanaman industri, industri pertanian, teknologi lepas tuai, kemampanan pertanian, perlindungan tanaman dan pengurusan. Pelajar juga dilengkapi dengan kemahiran teknologi terkini dalam bidang agroteknologi seperti penanaman secara fertigasi, penanaman bandar, pertanian jitu dan integrasi penanaman. Pelajar juga dikehendaki untuk mengendalikan dan menguruskan projek agro melalui aktiviti praktikal yang melibatkan perancangan penanaman, pengurusan lepas tuai dan pemasaran hasil tanaman menerusi aktiviti dilapangan sepanjang pengajian mereka. Selain itu, pelajar juga akan mengambil kursus umum yang terdiri daripada Matematik, Sains, Bahasa Inggeris Komunikasi, Pendidikan Islam, Pendidikan Moral, Aplikasi Komputer dan Pembangunan Diri. Mereka juga perlu menjalani latihan industri di industri pilihan dalam bidang misalnya ladang pertanian, institut penyelidikan kerajaan atau mana-mana industri dalam negara yang berkaitan untuk mendapatkan kemahiran, pengetahuan dan pengalaman tambahan. Ini akan menyediakan asas yang baik dalam pengetahuan, kemahiran teknikal dan kemahiran komunikasi yang membolehkan mereka menyesuaikan diri dan menerima pakai teknologi baru dan cabaran-cabaran yang akan mereka hadapi di tempat kerja dan semasa menjalani pembelajaran sepanjang hayat.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang agroteknologi yang dapat digunakan untuk pelbagai kerjaya dalam bidang bioteknologi pertanian, automasi dan mekanisasi dalam bidang pertanian. Pengetahuan dan kemahiran yang pelajar perolehi daripada program ini akan membolehkan mereka untuk mengambil bahagian dalam industri sebagai:
* Juruteknologi Makmal (Penternak Tisu)
* Usahawan Agro Bioteknologi
* Pengurus/Pengurus Cawangan (Pengurusan Ladang)
* Penolong Pegawai Pertanian
* Penolong Projek
* Pembantu Jualan bidang agro bioteknologi
* Pakar Teknikal
* Pembantu Penyelidik
* Pembantu Alam Sekitar
* Pegawai Kawalan Kualiti
* Pembantu Juruteknik Pemprosessan Makanan Industri
* Cadet Planter
* Penolong Pegawai Sains"
POLY-DIP-002,Diploma Bioteknologi,0,Diploma,Agroteknologi Dan Bio-Industri,Bioteknologi,6,"Bioteknologi adalah suatu bidang baru dalam kehidupan dunia moden. Program ini dibangunkan untuk memenuhi permintaan pelajar yang bercita-cita untuk melibatkan diri dalam bidang bioteknologi. Kandungan teras program ini terdiri daripada beberapa kursus seperti Matematik, Biologi, Biokimia, Kimia, Mikrobiologi dan Teknik dan Pengurusan Makmal. Kursus disiplin yang ditawarkan pula seperti Instrumentasi Bioteknologi, Bioteknoologi Perindustrian, Teknologi Tisu Kultur, dan Teknologi Bioproses akan meningkatkan pengetahuan pelajar dan kemahiran dalam Bioteknologi. Kursus elektif juga ditawarkan untuk memberi pengetahuan kepada pelajar seiring dengan bidang bioteknologi seperti Bioteknologi Alam Sekitar, Bioteknologi Makanan dan Agrobioteknologi. Gaya pembelajaran program ini direka untuk menggalakkan pelajar berkomunikasi dengan berkesan, membina sikap positif serta nilai-nilai dan profesionalisme, bersikap lebih bertanggungjawab dan beretika terhadap rakan- rakan, pelanggan, majikan dan masyarakat. Mereka juga mampu untuk melaksanakan tugas-tugas dan menyelesaikan masalah dalam penyelidikan, pembangunan dan pengeluaran melalui asimilasi kemahiran pemikiran kritikal, analitikal dan teknikal.","Para graduan boleh mendapat pekerjaan dalam pelbagai tempat kerja seperti institusi pendidikan, syarikat-syarikat farmaseutikal, industri makanan, hospital, syarikat bioteknologi, jabatan pertanian, agensi alam sekitar, forensik dan pusat penyelidikan. Pekerjaan yang berpotensi termasuk:
* Pembantu Teknik
* Pembantu Makmal
* Penolong Penyelidik
* Penyelia Jaminan Kualiti
* Penyelia Kawalan Kualiti
* Wakil Jualan Alat-alat Sains
* Juruteknik Makmal
* Pakar Produk
* Eksekutif Perkhidmatan Pelanggan
* Pembiak tumbuhan
* Juruteknik Pakar
* Penganalisis Assay
* Juruteknik Kalibrasi Instrumen
* Juruteknik Pengeluaran
* Pembantu Pembangunan Proses
* Wakil Perkhidmatan Teknik
* Penulis Teknikal"
POLY-DIP-003,Diploma Geomatik,0,Diploma,Kejuruteraan Awam,Geomatik,6,"Program pengajian Diploma Geomatik direkabentuk untuk melengkapkan pelajar dengan pengetahuan teoritikal, kemahiran teknikal dan tingkah laku yang diperlukan dalam bidang ukur tanah ataupun geomatik. Pelaksanaan aktiviti pengajaran dan pembelajaran program pengajian ini dijalankan di kampus dan di tapak / lapangan ukur yang meliputi skop kerja di dalam industri geomatik dan geospatial yang merangkumi aspek teknik pengukuran dan kedudukan, cerapan data geospatial, pemprosesan dan analisis data pengukuran serta pemetaan yang dipelajari di dalam Ukur Kadaster, Pengiraan Ukur, Ukur Kejuruteraan, Ukur Hidrografi, Pemetaan Utiliti, Geodesi, Astronomi, Pelarasan Ukur, CADD, Sistem Maklumat Geografi (GIS), Fotogrametri, Remote Sensing, Kartografi, Undang-undang Tanah, Pengurusandan Pembangunan Tanah.Kemahiran insaniah, kemahiran berkomunikasi dan kerja berpasukan juga diterapkan kepada pelajar supaya mereka dapat berkomunikasi, berinteraksi dan bekerja secara berpasukan dengan penuh bertanggungjawab dan berkesan.Segala pengetahuan dan kemahiran yang diperolehi oleh pelajar amat berguna untuk membina kerjaya ataupun melanjutkan pelajaran ke peringkat lebih tinggi dalam bidang geomatik dan geospatial.","Peluang pekerjaan pelajar selepas menamatkan pengajian dengan Diploma Geomatik adalah seperti berikut:
* Penolong JuruUkur
* Penolong Pegawai Tanah
* Juruteknik (KerjaUkur)
* Juruteknik (PelukisPelan)
* Penolong Pegawai Sistem Maklumat (GIS)
* Penolong Pegawai Sistem Maklumat (Remote Sensing)"
POLY-DIP-004,Diploma in Retail Operations Management,1,Diploma,Perdagangan,Retail Operations Management,5,"Diploma in Retail Operations Management provides students with the appropriate knowledge and skills to become a retail industry specialist. Students will undergo five (5) semesters programme inclusive of two (2) semester work-based learning. The courses in this programme are selected according to the current needs of industry. The discipline courses cover the technical aspects of retail and business knowledge. In addition to those courses, non-technical courses such as Communicative English, Penghayatan Etika dan Peradaban, Pengajian Islam, and Nilai Masyarakat Malaysia is also being taught to enhance student's generic skills. Students will also be required to undergo a work-based learning at the industry which covers modular Front Store and Back Store Operations, Customer Service and Capstone Project. The industry would certainly require skilled and competent personnel in order to promote its growth. This programme will produce a quality semiprofessional graduates who will be part of the manpower in retail sector. Students will able to understand and analyse the current retail situations through project, problem scenario, case studies and other relevant assessments.","This programme provides the knowledge and skills where the graduates will have a wide range of career opportunities such as retailer, marketer, entrepreneur and employment in government agencies. The integration of WBL teaching method in this curriculum design is enhancing the opportunity for students to establish contacts with potential future employers. Upon completing their studies, graduates will have the opportunity to take up middle management roles within various operational departments of the retail industry sector, including:
GOVERNEMENT / CORPORATE / SELF-EMPLOYED
* Store Manager
* Merchandiser
* Visual Merchandiser
* Loss & Prevention Executive
* Retail Store Supervisor
* Retail Outlet Assistant / Department Manager
* Retail Data Analytic Executive
* Event Coordinator
* Event and Exhibition Assistant
* Operations Executive
* Customer Service Executive
* Media Sales Executive
* Retail Cyber Security Executive
* Retail Digital Content Creator
* Distribution Centre Officer
* Junior Marketing Executive
* Junior Purchasing Executive
* Junior Supply Chain Executive"
POLY-DIP-005,Diploma Insurans,0,Diploma,Perdagangan,Insurans,6,"Program Diploma Insurans dirumuskan untuk menghasilkan graduan yang berkelayakan untuk memenuhi keperluan tenaga kerja yang terlatih dalam industri insurans. Ia mempunyai beberapa tahap kesukaran yang menjadikannya satu pengetahuan yang tidak ternilai bagi pelajar yang memilih program ini. Program ini menawarkan kursus-kursus yang meliputi amalan insurans yang penting, jenis-jenis perlindungan insurans, aspek undang-undang insurans, insurans peribadi dan komersial, pengunderaitan dan pengendalian tuntutan, pengurusan risiko dan pelaburan. Selain kursus berkaitan insurans, program ini juga turut menawarkan kursus-kursus seperti perakaunan, ekonomi, statistik, keusahawanan dan latihan industri untuk menyediakan pelajar kepada dunia perniagaan. Program ini mengintegrasikan kesemua aktiviti perniagaan dan teknologi maklumat yang diperlukan dalam membangunkan perniagaan insurans yang efektif.  Pelajar yang mengikuti program ini akan memperolehi manfaat daripada prospek pekerjaan yang meluas selain daripada mempunyai peluang untuk menggunakan kemahiran keusahawanan  dengan memulakan perniagaan yang berkaitan dengan insurans.","Graduan program tiga tahun ini akan memulakan kerjaya di pasaran kerja sebagai:
	Pembantu Pegawai Pengunderaitan
	Pembantu Pegawai Tuntutan Insuran
	Penyelaras Kerugian
	Penganalisa Risiko
	Broker Insurans
	Pembantu Insurans Dalaman
	Pembantu Pengurusan Risiko
	Bankasurans
	Pegawai Pemasaran/Jualan
	Pembantu Pegawai Latihan
	Pembantu Pegawai Tadbir
	Perunding Kewangan
	Pembantu Pegawai Pengawasan dan Pematuhan"
POLY-DIP-006,Diploma Kejuruteraan Alam Sekitar,0,Diploma,Kejuruteraan Awam,Kejuruteraan Alam Sekitar,6,"Program pengajian Kejuruteraan Alam Sekitar direkabentuk untuk melengkapkan pelajar dengan pengetahuan teoritikal, kemahiran teknikal dan tingkah lakuyang diperlukan dalam bidang kejuruteraan alam sekitar. Pelaksanaan aktiviti pengajaran dan pembelajaran program pengajian ini dijalankan di kampus dan di tapak kajian berkaitan dengan skop kerja di dalam penjagaan da npemuliharaan alam sekitaryang merangkumi aspek punca dan kesan pencemaran, kaedah mengenal pasti punca dan teknik pemuliharaan, kajian dan eksperimen, undang-undang dan peraturan pihak autoriti, kepentingan keselamatan dan kesihatan pekerjaan, kesejahtaraan kehidupan manusia serta penjagaan kualiti alam sekitar.Kursus-kursus yang ditawarkan berupaya mempersiapkan pelajar untuk memenuhi pasaran kerja dalam pelbagai laluan dalam bidang sains dan teknologi berkaitan kejuruteraan alam sekitar seperti pemprosesan air mentah dan pembekalan air bersih, pemprosesan air sisa, pengurusan bahan buangan sisa pepejal, kitar semula bahan sisa buangan dan kajian masalah pencemaran air, udara dan kebisingan. Kemahiran insaniah, kemahiran berkomunikasi dan kerja berpasukan juga diterapkan kepada pelajar supaya mereka dapat berkomunikasi, berinteraksi dan bekerja secara berpasukan dengan penuh bertanggungjawab dan berkesan.Segala pengetahuan dan kemahiran yang diperolehi oleh pelajar amat berguna untuk membina kerjaya ataupun melanjutkan pelajaran ke peringkat lebih tinggi dalam bidang kejuruteraan alam sekitar.","Peluang pekerjaan pelajar selepas menamatkan pengajian dengan Diploma Kejuruteraan Alam Sekitar adalah seperti berikut:
* Penolong Pegawai Alam Sekitar
* Penolong Pegawai Kesihatandan Keselamatan
* Penolong Pegawai Kawalan Kualiti Alam Sekitar
* Pembantu Teknik
* Penyelia Tapak
* Juruteknik Makmal
* Penolong Penyelidik
* Kontraktor KebersihanKawasan"
POLY-DIP-007,Diploma Kejuruteraan Awam,0,Diploma,Kejuruteraan Awam,Kejuruteraan Awam,6,"Program pengajian Diploma Kejuruteraan Awam direkabentuk untuk melengkapkan pelajar dengan pengetahuan teoritikal, kemahiran teknikal dan tingkah laku yang diperlukan dalam bidang kejuruteraan awam. Pelaksanaan aktiviti pengajaran dan pembelajaran program pengajian ini dijalankan di kampus dan di tapak binaan yang meliputi skop kerja di dalam industri pembinaan yang merangkumi aspek penggunaan bahan dan teknologi pembinaan, reka bentuk struktur dan kaedah binaan, undang-undang dan peraturan Pihak Berkuasa Tempatan, kepentingan keselamatan dan kesihatan pekerjaan serta penjagaan alam sekitar. Kemahiran insaniah, kemahiran berkomunikasi dan kerja berpasukan juga diterapkan kepada pelajar supaya mereka dapat berkomunikasi, berinteraksi dan bekerja secara berpasukan dengan penuh bertanggungjawab dan berkesan.Segala pengetahuan dan kemahiran yang diperolehi oleh pelajar amat berguna untuk membina kerjaya ataupun melanjutkan pelajaran ke peringkat lebih tinggi dalam bidang kejuruteraan awam.","Peluang pekerjaan pelajar selepas menamatkan pengajian dengan Diploma Kejuruteraan Awam adalah seperti berikut:
* Penolong Jurutera
* Pembantu Teknik
* Penyelia Tapak
* Penyelaras Bahan Binaan
* Kerani Kerja Tapak
* Pegawai Kesihatan dan Keselamatan
* Pembantu Penyelidik
* Pembekal Bahan Binaan
* Kontraktor Pembinaan"
POLY-DIP-008,Diploma Kejuruteraan Elektrik,0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektrik,6,"Diploma Kejuruteraan Elektrik direka bentuk untuk meliputi disiplin ilmu kejuruteraan elektrik semasa, dengan pengkhususan tambahan elektronik yang digunakan dalam bidang kejuruteraan elektrik. Asas elektronik yang meliputi bidang kuasa, kawalan, instrumentasi dan komputer memberikan fleksibiliti kepada para graduan, sambil menekankan bidang pengkhususan.
Graduan ini dijangka akan berkhidmat dalam bidang kejuruteraan elektrik. Penggunaan peralatan elektrik dan elektronik hari ini memerlukan juruteknik yang mahir dan terlatih yang diperlukan untuk cabaran baharu ini. Diploma Kejuruteraan Elektrik di Politeknik Kementerian Pendidikan Malaysia melengkapkan graduannya dengan kemahiran teknikal yang diiktiraf.","Di Sektor Awam, pekerjaan ini terdapat di Jabatan Kerja Raya dan lain jabatan yang berkaitan dengan pembinaan dan bangunan. Disektor swasta pula jawatan ini terdapat di Tenaga Nasional Bhd, Syarikat Telekom (M) Bhd, di kilang-kilang terutama sekali disektor pembuatan, telekomunikasi, kilang, loji dan lain-lain. Mereka boleh menjadi juruperunding bertauliah dan menjadi usahawan sendiri.
Pekerjaan Yang Dikelas Dibidang Ini Diantaranya:
* Juruteknik Voltan Tinggi
* Juruteknik Kuasa
* Juruteknik Penghantaran Kuasa Elektrik
* Juruteknik Penganggar
Industri Perfileman
* Pencahayaan"
POLY-DIP-009,Diploma Kejuruteraan Elektrik & Elektronik,0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektrik & Elektronik,6,"Program Diploma Kejuruteraan Elektrik dan Elektronik telah direkabentuk meliputi pelbagai disiplin semasa yang luas dalam bidang Kejuruteraan Elektrik dan Elektronik. Pelajar turut didedahkan dengan Asas Elektrik dan Elektronik yang luas merangkumi Prinsip Elektrik dan Elektronik, Asas komputer dan Pengaturacaraan, Rekabentuk Terbantu Komputer, Peranti Semikonduktor, Sistem Komunikasi, Pemasangan Pendawaian, Sistem Kuasa, Mesin Elektrik dan Pengawal Logik Boleh Aturcara. Pengetahuan dan kemahiran dalam kedua-dua bidang ini akan menyediakan peluang pekerjaan yang lebih luas kepada graduan.","Program ini menyediakan pelajar yang berpengetahuan dan berkemahiran dalam bidang Kejuruteraan Elektrik dan Elektronik yang boleh digunakan dalam pelbagai kerjaya khususnya dalam sektor penjanaan kuasa dan industri pembuatan. Pengetahuan dan kemahiran yang pelajar perolehi daripada program ini akan membolehkan mereka untuk mengambil bahagian dalam pasaran kerja sebagai;
* Juruteknik Elektrik/ Eletronik
* Penasihat Perkhidmatan Kejuruteraan Eletkrik
* Pembantu Teknik
* Penyelia Elektrik/ Elektronik Kejuruteraan
* Penolong Jurutera"
POLY-DIP-010,Diploma Kejuruteraan Elektrik & Instrumentasi,0,Diploma,Kejuruteraan Petrokimia,Kejuruteraan Elektrik & Instrumentasi,6,"Diploma Kejuruteraan Elektrik dan Instrumentasi (Petrokimia) direka bentuk untuk menawarkan bidang kejuruteraan elektrik dan instrumentasi dengan pengkhususan dalam bidang petrokimia.Program ini bertujuan untuk menyediakan pelajar dengan pengetahuan, kemahiran dan kebolehan yang diperlukan dalam bidang elektrik, instrumentasi dan industri petrokimia. Kursus-kursus asas yang meluas berkaitan kejuruteraan elektrik dan instrumentasi yang merangkumi litar elektrik, pendawaian elektrik, elektronik, reka bentuk bantuan komputer, peralatan, sistem kuasa elektronik, kawalan logik boleh atur cara (PLC) dan sistem kawalan (DCS) menyediakan kepelbagaianpengetahuan dan kemahiran kepada graduan yang menjurus kepada bidang pengkhususan di dalam bidang petrokimia.Selain daripada pengetahuan dan kemahiran teknikal, program ini juga memberi penekanan kepada pembangunan potensi individu pelajar dalam cara yang bersepadu dan holistik melalui kursus seperti pengajian Islam, kajian moral, ko-kurikulum, kemahiran insaniah dan keusahawanan.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang kejuruteraan elektrik dan instrumentasi yang boleh digunakan di dalam pelbagai kerjaya dalam bidang elektrik secara amnya dan dalam bidang petrokimia secara khususnya. Pengetahuan dan kemahiran yang diperolehi dari program ini akan membolehkan mereka mengambil bahagian di dalam industri sebagai:
	Juruteknik Elektrik
	Juruteknik Instrumentasi
	Penyelia Kejuruteraan Elektrik
	Juruteknik Elektrik dan Instrumentasi di industri Petrokimia
	Penolong Jurutera
	Eksekutif Pemasaran"
